Open,High,Low,Vol,Change,PriceTomorow
19275.4,19425.4,19006.4,58571,-0.001,19309.9
19926.6,20785.6,18980.1,150181,-0.033,19243.2
20111.3,20155.1,18682.7,127731,-0.009,19262.9
20278,20415.8,19880.7,98971,-0.008,19926.6
20727.9,21200.2,20210.5,83831,-0.022,20111.3
21037.7,21497.5,20568,84691,-0.015,20278
21489.9,21837.4,20989.7,67211,-0.021,20730.2
21226.9,21553.4,20917.5,66631,0.012,21043.5
21100.9,21488.7,20743.9,104561,0.006,21489.9
19967.3,21189.8,19907.5,110701,0.057,21226.9
20720.2,20864.3,19780.2,125941,-0.036,21100.7
20571.6,21689.3,20371.7,136321,0.007,19965.8
20576.9,20996.8,19658.8,140601,0,20720.4
18983.4,20763.5,17983.7,169391,0.084,20572.3
20446.4,20744.7,17630.5,267251,-0.071,20577.2
20391.3,21315.4,20244.1,136271,0.003,18986.5
22577.9,22942.1,20231.1,144001,-0.097,20444.6
22137.5,22754.4,20125.8,280411,0.019,20386.6
22449.1,23200.3,20860.9,251011,-0.013,22577.9
