Open,High,Low,Vol,Change,PriceTomorow
"21,248.00","23,027.80","21,047.50",242661,0.0805,"23,850.00"
"21,301.60","21,322.30","20,737.30",201571,-0.0025,"22,958.30"
"22,582.30","22,653.30","21,275.40",206931,-0.0567,"21,248.70"
"22,449.80","22,987.90","22,281.30",126661,0.0054,"21,301.90"
"22,683.60","22,991.00","21,971.70",137421,-0.0095,"22,582.10"
"23,150.00","23,741.40","22,524.20",197541,-0.0206,"22,460.40"
"23,219.90","23,403.80","22,360.20",217081,-0.0027,"22,675.20"
"23,412.00","24,258.00","22,944.40",281311,-0.0083,"23,153.00"
"22,529.30","23,757.30","21,581.80",308911,0.0393,"23,215.20"
"20,785.60","22,714.90","20,770.60",279721,0.0837,"23,410.20"
"21,209.80","21,654.40","20,755.20",132811,-0.02,"22,525.80"
"20,825.20","21,561.30","20,484.40",136891,0.0185,"20,785.60"
"20,586.10","21,178.10","20,393.40",164671,0.0116,"21,209.90"
"20,250.00","20,862.20","19,664.90",205281,0.0166,"20,825.10"
"19,331.60","20,250.80","18,942.20",249381,0.0475,"20,586.00"
"19,963.20","20,051.70","19,279.60",167911,-0.0317,"20,250.00"
"20,847.20","20,855.00","19,897.00",160201,-0.0424,"19,330.90"
"21,587.40","21,599.20","20,689.70",204681,-0.0343,"19,963.20"
"21,610.40","21,944.10","21,338.40",190111,-0.0011,"20,847.40"
"21,637.10","22,482.10","21,207.00",439901,-0.0012,"21,587.50"
"20,557.90","21,817.80","20,282.70",115811,0.0524,"21,611.20"
"20,180.40","20,654.90","19,785.30",105241,0.0178,"21,637.80"
"20,215.80","20,706.90","19,315.40",122431,-0.0008,"20,561.10"
"19,310.60","20,303.80","19,052.50",92791,0.0469,"20,200.60"
"19,243.40","19,626.40","18,794.40",65271,0.0035,"20,215.80"
"19,275.40","19,425.40","19,006.40",58571,-0.001,"19,309.90"
"19,926.60","20,785.60","18,980.10",150181,-0.0333,"19,243.20"
"20,111.30","20,155.10","18,682.70",127731,-0.0092,"19,262.90"
"20,278.00","20,415.80","19,880.70",98971,-0.0082,"19,926.60"
"20,727.90","21,200.20","20,210.50",83831,-0.0218,"20,111.30"
"21,037.70","21,497.50","20,568.00",84691,-0.0149,"20,278.00"
"21,489.90","21,837.40","20,989.70",67211,-0.0208,"20,730.20"
"21,226.90","21,553.40","20,917.50",66631,0.0124,"21,043.50"
"21,100.90","21,488.70","20,743.90",104561,0.006,"21,489.90"
"19,967.30","21,189.80","19,907.50",110701,0.0568,"21,226.90"
"20,720.20","20,864.30","19,780.20",125941,-0.0364,"21,100.70"
"20,571.60","21,689.30","20,371.70",136321,0.0072,"19,965.80"
"20,576.90","20,996.80","19,658.80",140601,-0.0002,"20,720.40"
"18,983.40","20,763.50","17,983.70",169391,0.0838,"20,572.30"
"20,446.40","20,744.70","17,630.50",267251,-0.0713,"20,577.20"
"20,391.30","21,315.40","20,244.10",136271,0.0028,"18,986.50"
"22,577.90","22,942.10","20,231.10",144001,-0.0971,"20,444.60"
"22,137.50","22,754.40","20,125.80",280411,0.019,"20,386.60"
"22,449.10","23,200.30","20,860.90",251011,-0.0129,"22,577.90"
"26,606.30","26,857.60","22,006.30",379261,-0.1563,"22,157.30"
"28,404.00","28,534.80","26,606.30",120021,-0.0633,"22,448.00"
"29,083.30","29,426.60","28,161.80",82921,-0.0234,"26,606.30"
"30,097.40","30,325.60","28,884.90",104261,-0.0337,"28,403.40"
"30,202.10","30,691.40","29,953.80",61721,-0.0034,"29,083.30"
"31,127.20","31,312.10","29,874.80",87961,-0.0298,"30,097.80"
"31,370.30","31,556.60","29,235.00",140321,-0.0076,"30,201.60"
"29,911.20","31,753.40","29,888.60",94011,0.0486,"31,128.80"
"29,865.10","30,166.90","29,539.00",30331,0.0016,"31,367.60"
"29,700.90","29,963.80","29,489.50",33511,0.0055,"29,913.00"
"30,455.70","30,674.80","29,330.80",72131,-0.0248,"29,864.30"
"29,798.60","30,638.50","29,604.40",81401,0.022,"29,700.90"
"31,793.10","31,969.90","29,396.60",135091,-0.0627,"30,455.50"
"31,730.20","32,377.50","31,221.20",86601,0.0022,"29,798.50"
"29,465.20","32,185.60","29,307.20",129561,0.0766,"31,793.40"
"29,027.10","29,556.50","28,838.70",36871,0.0151,"31,723.30"
"28,620.10","29,194.40","28,537.20",43871,0.0149,"29,465.20"
"29,194.00","29,377.10","28,282.20",116411,-0.0206,"29,027.10"
"29,537.90","29,868.90","28,077.90",126711,-0.0114,"28,601.20"
"29,648.70","30,202.30","29,353.50",78851,-0.0036,"29,203.50"
"29,091.60","29,810.80","28,706.10",79421,0.0191,"29,540.60"
"30,287.30","30,644.80","28,913.60",92101,-0.0394,"29,648.70"
"29,433.00","30,462.00","29,260.10",50601,0.0289,"29,093.30"
"29,188.70","29,623.20","28,953.90",32271,0.0088,"30,286.60"
"30,305.90","30,735.10","28,738.50",98781,-0.0372,"29,434.60"
"28,700.40","30,525.10","28,682.10",101381,0.0566,"29,178.60"
"30,437.50","30,687.90","28,648.10",92031,-0.0576,"30,305.90"
"29,856.70","30,720.10","29,484.50",79631,0.0197,"28,683.70"
"31,308.30","31,312.40","29,135.80",100251,-0.0466,"30,437.50"
"30,078.60","31,383.80","29,499.40",65441,0.0408,"29,849.00"
"29,285.20","30,277.40","28,666.70",70461,0.0272,"31,308.70"
"28,994.30","31,002.70","28,755.00",141231,0.0106,"30,080.40"
"29,073.40","30,136.70","26,500.50",309481,-0.0032,"29,284.40"
"31,008.00","32,113.60","27,835.50",296901,-0.0625,"28,976.00"
"30,098.20","32,621.20","29,831.00",235611,0.0303,"29,068.20"
"34,041.00","34,227.00","30,095.00",268091,-0.1164,"31,007.50"
"35,468.00","35,497.00","33,727.00",671051111,-0.0397,"30,095.00"
"36,003.00","36,119.00","34,773.00",288861111,-0.015,"34,060.00"
"36,540.00","36,646.00","35,267.00",752841111,-0.0146,"35,468.00"
"39,686.00","39,833.00","36,183.00",1041111111,-0.0792,"36,009.00"
"37,717.00","40,021.00","37,660.00",691491111,0.0522,"36,544.00"
"38,515.00","38,647.00","37,513.00",367211111,-0.0207,"39,688.00"
"38,472.00","39,134.00","38,061.00",580791111,0.0014,"37,718.00"
"37,642.00","38,676.00","37,397.00",276991111,0.0215,"38,514.00"
"38,590.00","38,776.00","37,596.00",248221111,-0.0241,"38,461.00"
"39,748.00","39,919.00","38,175.00",382901111,-0.0294,"37,650.00"
"39,243.00","40,382.00","38,888.00",542391111,0.0129,"38,581.00"
"38,113.00","39,447.00","37,869.00",426831111,0.0296,"39,748.00"
"40,443.00","40,770.00","37,708.00",681471111,-0.0572,"39,243.00"
"39,464.00","40,599.00","38,233.00",654601111,0.0244,"38,113.00"
"39,434.00","39,929.00","39,033.00",283631111,0.0012,"40,427.00"
"39,709.00","39,973.00","39,291.00",190601111,-0.0073,"39,464.00"
"40,487.00","40,792.00","39,200.00",421301111,-0.0191,"39,418.00"
"41,370.00","42,969.00","39,793.00",493051111,-0.0214,"39,709.00"
"41,499.00","42,203.00","40,915.00",382841111,-0.0033,"40,482.00"
"40,809.00","41,746.00","40,585.00",268281111,0.0172,"41,368.00"
"39,700.00","41,095.00","38,577.00",484261111,0.0277,"41,503.00"
"40,382.00","40,599.00","39,561.00",210011111,-0.0168,"40,803.00"
"40,571.00","40,691.00","40,003.00",151311111,-0.0044,"39,703.00"
"39,936.00","40,850.00","39,781.00",233091111,0.0156,"40,382.00"
"41,133.00","41,494.00","39,585.00",294291111,-0.0291,"40,560.00"
"40,072.00","41,515.00","39,581.00",406701111,0.0263,"39,936.00"
"39,507.00","40,678.00","39,265.00",468271111,0.0147,"41,133.00"
"42,144.00","42,418.00","39,202.00",608381111,-0.0627,"40,078.00"
"42,760.00","43,421.00","41,884.00",255831111,-0.0147,"39,497.00"
"42,275.00","42,809.00","42,129.00",165161111,0.0116,"42,138.00"
"43,450.00","43,979.00","42,113.00",467831111,-0.027,"42,767.00"
"43,166.00","43,893.00","42,747.00",390851111,0.0064,"42,275.00"
"45,494.00","45,519.00","43,122.00",649521111,-0.0513,"43,448.00"
"46,614.00","47,201.00","45,388.00",421111111,-0.0241,"43,173.00"
"46,407.00","46,899.00","45,152.00",446121111,0.0048,"45,506.00"
"45,813.00","47,435.00","45,554.00",398861111,0.013,"46,629.00"
"46,299.00","47,212.00","45,641.00",345931111,-0.0105,"46,407.00"
"45,529.00","46,728.00","44,261.00",632931111,0.017,"45,811.00"
"47,071.00","47,624.00","45,228.00",520001111,-0.0329,"46,297.00"
"47,449.00","47,714.00","46,601.00",467761111,-0.0079,"45,525.00"
"47,126.00","48,127.00","47,029.00",478821111,0.0073,"47,075.00"
"46,859.00","48,199.00","46,672.00",610271111,0.0052,"47,449.00"
"44,542.00","46,947.00","44,445.00",388791111,0.0519,"47,105.00"
"44,331.00","44,818.00","44,090.00",196301111,0.0049,"46,859.00"
"44,013.00","45,112.00","43,622.00",494091111,0.0072,"44,548.00"
"42,911.00","44,251.00","42,658.00",491661111,0.0257,"44,331.00"
"42,373.00","43,027.00","41,795.00",433961111,0.0127,"44,013.00"
"41,022.00","43,327.90","40,893.00",537061111,0.0329,"42,912.00"
"41,282.00","41,532.00","40,530.00",406621111,-0.0062,"42,373.00"
"42,241.00","42,301.00","40,922.00",308451111,-0.0227,"41,022.00"
"41,768.00","42,386.00","41,529.60",224591111,0.0111,"41,276.00"
"40,914.60","42,308.40","40,234.80",2311111111,0.0208,"42,233.00"
"41,118.70","41,406.00","40,557.80",1901111111,-0.005,"41,767.80"
"39,282.50","41,701.60","38,953.20",4471111111,0.0467,"40,914.80"
"39,673.00","39,854.70","38,220.90",2251111111,-0.0097,"41,118.70"
"37,789.50","39,914.30","37,613.60",2331111111,0.0497,"39,285.70"
"38,813.20","39,272.30","37,603.40",1551111111,-0.0263,"39,671.10"
"38,730.20","39,355.30","38,666.50",1111111111,0.0022,"37,792.40"
"39,422.50","40,177.00","38,236.40",2791111111,-0.0174,"38,814.30"
"41,933.90","42,029.10","38,603.50",3621111111,-0.0599,"38,730.20"
"38,731.50","42,538.50","38,663.30",3601111111,0.0822,"39,416.30"
"38,020.60","39,351.50","37,886.60",2671111111,0.0189,"41,929.00"
"38,420.60","39,532.00","37,182.10",3021111111,-0.0099,"38,744.80"
"39,396.30","39,668.10","38,115.00",1931111111,-0.0252,"38,024.80"
"39,142.80","39,600.20","38,626.10",1501111111,0.0065,"38,403.10"
"42,463.00","42,848.70","38,594.90",3211111111,-0.0782,"39,395.80"
"43,912.80","44,077.20","41,840.80",74111,-0.033,"39,142.70"
"44,420.30","45,294.20","43,361.30",80821,-0.0114,"42,463.00"
"43,187.20","44,900.50","42,876.60",90671,0.0285,"43,912.80"
"37,707.20","43,977.80","37,458.90",108071,0.1459,"44,420.30"
"39,116.60","39,838.50","37,062.30",66141,-0.0365,"43,188.20"
"39,221.60","40,094.50","38,639.10",41551,-0.0024,"37,689.10"
"38,339.20","39,683.70","38,042.60",83781,0.0227,"39,115.50"
"37,250.20","39,351.60","34,357.40",180471,0.0299,"39,209.60"
"38,248.20","39,194.50","37,099.50",64841,-0.0268,"38,339.20"
"37,018.30","38,414.90","36,399.60",82751,0.0332,"37,224.60"
"38,355.00","39,444.10","36,868.90",91821,-0.0349,"38,248.20"
"40,089.60","40,120.30","38,042.20",47921,-0.0433,"37,017.70"
"40,000.10","40,434.30","39,666.60",25781,0.0023,"38,355.00"
"40,532.50","40,935.50","39,505.00",64961,-0.0136,"40,090.30"
"43,885.50","44,167.10","40,103.80",72631,-0.0759,"40,000.10"
