PM10,1O2,CO,O3,NO2,OutputY
30.11,,0.15,39.19,10.67,1
29.17,,0.24,44.41,10.42,1
25.26,,0.12,38.35,9.30,1
25.83,,0.13,43.15,10.68,1
27.88,,0.05,38.31,10.75,1
28.86,,0.12,38.07,10.52,1
31.75,,0.10,49.40,9.59,1
47.21,25.86,0.37,59.03,10.42,1
52.44,26.49,0.26,44.21,10.74,1
47.99,27.87,0.25,42.93,9.00,1
34.08,25.40,0.12,42.59,10.53,1
32.75,25.29,0.13,45.61,10.65,1
30.11,24.99,0.12,40.47,10.67,1
43.45,25.07,0.11,41.45,11.75,1
39.14,24.11,0.09,37.03,8.45,1
48.13,27.38,0.39,40.61,9.94,1
98.09,29.08,0.43,49.26,13.85,1
,25.27,0.08,36.83,9.88,1
28.93,23.50,0.11,41.93,10.65,1
18.55,24.16,0.07,38.85,9.87,1
42.95,24.75,0.05,43.72,10.37,1
18.46,24.78,0.09,32.39,9.46,1
34.30,25.53,0.15,39.94,11.26,1
39.09,28.56,0.12,36.09,10.72,1
23.57,24.86,0.12,37.45,10.30,1
21.17,26.20,0.07,36.40,10.84,1
21.86,42.11,0.15,32.61,9.79,1
21.45,35.72,0.13,27.58,9.56,1
49.88,,0.44,25.12,8.71,1
16.27,,0.13,26.51,7.98,1
31.09,,0.17,34.40,8.19,1
37.34,,0.23,32.19,10.40,1
41.99,,0.23,39.49,8.33,1
47.76,,0.26,34.39,11.64,1
42.30,,0.40,49.36,14.13,1
45.63,,0.25,34.94,9.57,1
65.45,,0.53,41.08,6.29,1
31.86,,0.02,32.27,9.80,1
39.95,30.79,0.26,52.59,10.48,1
46.12,32.22,0.11,46.01,10.80,1
61.01,32.82,0.50,52.68,12.20,1
60.14,34.94,0.28,53.94,12.94,1
106.87,39.99,1.04,64.47,9.19,1
100.27,40.07,0.75,62.95,10.10,1
103.80,41.48,0.65,73.25,10.34,1
,37.67,0.10,46.67,10.52,1
,36.21,0.04,53.94,9.02,1
,33.70,0.08,48.42,8.95,1
,32.15,0.06,49.14,8.85,1
,31.15,0.10,58.23,9.37,1
,30.89,0.01,60.70,9.18,1
,29.88,0.03,58.56,8.54,1
,30.41,0.12,52.43,9.29,1
,30.26,0.12,63.58,9.28,1
,28.67,0.01,69.14,9.01,1
,28.41,0.06,65.43,9.48,1
,29.19,0.09,66.74,8.09,1
,29.08,0.05,71.24,9.71,1
,28.46,0.04,64.22,9.19,1
,30.37,0.26,58.06,8.81,1
,30.06,0.15,64.98,12.36,1
,31.55,0.15,47.46,10.29,1
,30.06,0.15,65.70,11.61,1
,29.34,0.12,51.39,7.92,1
,29.17,0.12,50.43,7.91,1
,29.12,0.10,56.79,8.55,1
,27.91,0.08,70.93,9.98,1
,26.59,0.09,61.10,9.41,1
,27.69,0.10,64.20,11.27,1
,26.94,0.06,63.63,8.35,1
,26.54,0.06,68.71,10.08,1
36.44,26.72,0.09,69.97,10.07,1
24.16,26.54,0.05,72.23,9.91,1
27.43,26.78,0.09,66.61,10.20,1
40.75,27.65,0.14,71.57,11.45,1
99.55,30.06,0.33,83.42,12.81,1
29.47,28.35,0.08,73.97,9.81,1
12.02,28.34,0.22,50.15,6.75,1
25.14,29.88,0.30,70.09,9.10,1
35.24,31.32,0.30,85.34,12.55,1
51.72,29.71,0.23,71.38,12.14,1
41.41,29.08,0.19,81.91,11.41,1
