Price,Open,High,Low,Vol,Change
20111.3,20278,20415.8,19880.7,98971,-0.0082
20278,20727.9,21200.2,20210.5,83831,-0.0218
20730.2,21037.7,21497.5,20568,84691,-0.0149
21043.5,21489.9,21837.4,20989.7,67211,-0.0208
21489.9,21226.9,21553.4,20917.5,66631,0.0124
21226.9,21100.9,21488.7,20743.9,104561,0.006
21100.7,19967.3,21189.8,19907.5,110701,0.0568
19965.8,20720.2,20864.3,19780.2,125941,-0.0364
20720.4,20571.6,21689.3,20371.7,136321,0.0072
20572.3,20576.9,20996.8,19658.8,140601,-0.0002
20577.2,18983.4,20763.5,17983.7,169391,0.0838
18986.5,20446.4,20744.7,17630.5,267251,-0.0713
20444.6,20391.3,21315.4,20244.1,136271,0.0028
20386.6,22577.9,22942.1,20231.1,144001,-0.0971
22577.9,22137.5,22754.4,20125.8,280411,0.019
22157.3,22449.1,23200.3,20860.9,251011,-0.0129
22448,26606.3,26857.6,22006.3,379261,-0.1563
26606.3,28404,28534.8,26606.3,120021,-0.0633
28403.4,29083.3,29426.6,28161.8,82921,-0.0234
29083.3,30097.4,30325.6,28884.9,104261,-0.0337
30097.8,30202.1,30691.4,29953.8,61721,-0.0034
30201.6,31127.2,31312.1,29874.8,87961,-0.0298
31128.8,31370.3,31556.6,29235,140321,-0.0076
31367.6,29911.2,31753.4,29888.6,94011,0.0486
29913,29865.1,30166.9,29539,30331,0.0016
29864.3,29700.9,29963.8,29489.5,33511,0.0055
29700.9,30455.7,30674.8,29330.8,72131,-0.0248
30455.5,29798.6,30638.5,29604.4,81401,0.022
29798.5,31793.1,31969.9,29396.6,135091,-0.0627
31793.4,31730.2,32377.5,31221.2,86601,0.0022
31723.3,29465.2,32185.6,29307.2,129561,0.0766
29465.2,29027.1,29556.5,28838.7,36871,0.0151
29027.1,28620.1,29194.4,28537.2,43871,0.0149
28601.2,29194,29377.1,28282.2,116411,-0.0206
29203.5,29537.9,29868.9,28077.9,126711,-0.0114
29540.6,29648.7,30202.3,29353.5,78851,-0.0036
29648.7,29091.6,29810.8,28706.1,79421,0.0191
29093.3,30287.3,30644.8,28913.6,92101,-0.0394
30286.6,29433,30462,29260.1,50601,0.0289
29434.6,29188.7,29623.2,28953.9,32271,0.0088
29178.6,30305.9,30735.1,28738.5,98781,-0.0372
30305.9,28700.4,30525.1,28682.1,101381,0.0566
28683.7,30437.5,30687.9,28648.1,92031,-0.0576
30437.5,29856.7,30720.1,29484.5,79631,0.0197
29849,31308.3,31312.4,29135.8,100251,-0.0466
31308.7,30078.6,31383.8,29499.4,65441,0.0408
30080.4,29285.2,30277.4,28666.7,70461,0.0272
29284.4,28994.3,31002.7,28755,141231,0.0106
28976,29073.4,30136.7,26500.5,309481,-0.0032
29068.2,31008,32113.6,27835.5,296901,-0.0625
31007.5,30098.2,32621.2,29831,235611,0.0303
30095,34041,34227,30095,268091,-0.1164
34060,35468,35497,33727,671051111,-0.0397
35468,36003,36119,34773,288861111,-0.015
36009,36540,36646,35267,752841111,-0.0146
36544,39686,39833,36183,1041111111,-0.0792
39688,37717,40021,37660,691491111,0.0522
37718,38515,38647,37513,367211111,-0.0207
38514,38472,39134,38061,580791111,0.0014
38461,37642,38676,37397,276991111,0.0215
37650,38590,38776,37596,248221111,-0.0241
38581,39748,39919,38175,382901111,-0.0294
39748,39243,40382,38888,542391111,0.0129
39243,38113,39447,37869,426831111,0.0296
38113,40443,40770,37708,681471111,-0.0572
40427,39464,40599,38233,654601111,0.0244
39464,39434,39929,39033,283631111,0.0012
39418,39709,39973,39291,190601111,-0.0073
39709,40487,40792,39200,421301111,-0.0191
40482,41370,42969,39793,493051111,-0.0214
41368,41499,42203,40915,382841111,-0.0033
41503,40809,41746,40585,268281111,0.0172
40803,39700,41095,38577,484261111,0.0277
39703,40382,40599,39561,210011111,-0.0168
40382,40571,40691,40003,151311111,-0.0044
40560,39936,40850,39781,233091111,0.0156
39936,41133,41494,39585,294291111,-0.0291
41133,40072,41515,39581,406701111,0.0263
40078,39507,40678,39265,468271111,0.0147
39497,42144,42418,39202,608381111,-0.0627
42138,42760,43421,41884,255831111,-0.0147
42767,42275,42809,42129,165161111,0.0116
42275,43450,43979,42113,467831111,-0.027
43448,43166,43893,42747,390851111,0.0064
43173,45494,45519,43122,649521111,-0.0513
45506,46614,47201,45388,421111111,-0.0241
46629,46407,46899,45152,446121111,0.0048
46407,45813,47435,45554,398861111,0.013
45811,46299,47212,45641,345931111,-0.0105
46297,45529,46728,44261,632931111,0.017
45525,47071,47624,45228,520001111,-0.0329
47075,47449,47714,46601,467761111,-0.0079
47449,47126,48127,47029,478821111,0.0073
47105,46859,48199,46672,610271111,0.0052
46859,44542,46947,44445,388791111,0.0519
44548,44331,44818,44090,196301111,0.0049
44331,44013,45112,43622,494091111,0.0072
44013,42911,44251,42658,491661111,0.0257
42912,42373,43027,41795,433961111,0.0127
42373,41022,43327.9,40893,537061111,0.0329
41022,41282,41532,40530,406621111,-0.0062
41276,42241,42301,40922,308451111,-0.0227
42233,41768,42386,41529.6,224591111,0.0111
41767.8,40914.6,42308.4,40234.8,2311111111,0.0208
40914.8,41118.7,41406,40557.8,1901111111,-0.005
41118.7,39282.5,41701.6,38953.2,4471111111,0.0467
39285.7,39673,39854.7,38220.9,2251111111,-0.0097
39671.1,37789.5,39914.3,37613.6,2331111111,0.0497
37792.4,38813.2,39272.3,37603.4,1551111111,-0.0263
38814.3,38730.2,39355.3,38666.5,1111111111,0.0022
38730.2,39422.5,40177,38236.4,2791111111,-0.0174
39416.3,41933.9,42029.1,38603.5,3621111111,-0.0599
41929,38731.5,42538.5,38663.3,3601111111,0.0822
38744.8,38020.6,39351.5,37886.6,2671111111,0.0189
38024.8,38420.6,39532,37182.1,3021111111,-0.0099
38403.1,39396.3,39668.1,38115,1931111111,-0.0252
39395.8,39142.8,39600.2,38626.1,1501111111,0.0065
39142.7,42463,42848.7,38594.9,3211111111,-0.0782
42463,43912.8,44077.2,41840.8,74111,-0.033
43912.8,44420.3,45294.2,43361.3,80821,-0.0114
44420.3,43187.2,44900.5,42876.6,90671,0.0285
43188.2,37707.2,43977.8,37458.9,108071,0.1459
37689.1,39116.6,39838.5,37062.3,66141,-0.0365
39115.5,39221.6,40094.5,38639.1,41551,-0.0024
39209.6,38339.2,39683.7,38042.6,83781,0.0227
38339.2,37250.2,39351.6,34357.4,180471,0.0299
37224.6,38248.2,39194.5,37099.5,64841,-0.0268
38248.2,37018.3,38414.9,36399.6,82751,0.0332
37017.7,38355,39444.1,36868.9,91821,-0.0349
38355,40089.6,40120.3,38042.2,47921,-0.0433
40090.3,40000.1,40434.3,39666.6,25781,0.0023
40000.1,40532.5,40935.5,39505,64961,-0.0136
40552.8,43885.5,44167.1,40103.8,72631,-0.0759
43883.6,44540.9,44552.9,43377.6,41401,-0.0148
44544.4,42550.3,44722.6,42460.1,56341,0.0469
42550.3,42061.1,42799.7,41591.3,53601,0.0116
42061.1,42205.5,42725.1,41880.1,25881,-0.0034
42205.2,42388.4,43006.4,41776.8,37881,-0.0043
42388.4,43519.3,43915.1,42023.4,69951,-0.026
43521,44388.9,45755.2,43242.5,89691,-0.0196
44388.9,44038.2,44800.4,43163,50921,0.008
44038.2,43833.9,45399.8,42705,92881,0.0047
43833.9,42385.2,44468.3,41695.4,76601,0.034
42392.2,41411.9,42614.8,41176.3,31201,0.0237
41412.1,41566.5,41899.8,40963.3,46321,-0.0037
41567.6,37287.8,41689,37041.1,95491,0.1148
37287.8,36890.2,37304.3,36297.3,50351,0.0108
36890.2,38711.2,38853.8,36682.3,53741,-0.047
38709.7,38475.6,39230,38037.9,55201,0.0055
38498.6,37923.8,38701.4,36672.8,61271,0.0153
37917.7,38167.5,38313.3,37390.6,34101,-0.0066
38170.8,37736.5,38663.7,37350.2,42771,0.0113
37745.1,37195.6,37995.9,36176.5,69451,0.0156
37164.3,36800.1,37215.4,35543.2,83521,0.0099
36800.4,36962.3,38862.6,36280,107871,-0.0041
36950.6,36691.3,37501.8,35729.3,79681,0.0072
36686.3,36268.6,37424,32985.6,153771,0.0115
36269.5,35072.9,36513,34655.2,70431,0.034
35075.2,36467.7,36749.8,34116,138091,-0.0384
36475.5,40698.1,41104.6,35503.9,155801,-0.1041
40715.9,41683.6,43487.1,40568.3,65281,-0.0231
41677.8,42365.3,42558,41160.9,53771,-0.0162
42364.6,42209.9,42674.2,41300.7,47321,0.0037
42209.3,43080.5,43179.6,41559.4,41441,-0.0202
43079.1,43079.2,43462,42643.3,28661,-0.0004
43097,43073.6,43777.9,42586.1,31441,0.0006
43073.3,42562.2,43435.1,41848.7,50501,0.0121
42560,43900,44404.7,42337.5,53421,-0.0305
43901,42735,44243.6,42476.7,53951,0.0273
42733.2,41829.1,43090.2,41287.6,61781,0.0215
41832.2,41848.9,42243.8,39697,85501,-0.0004
41848.3,41681.2,42764.4,41260.9,37511,0.0042
41672,41551.3,42304.4,40574.3,52541,0.003
41546.7,43097.9,43127.7,40810,88361,-0.036
43097.5,43431.6,43772.3,42481.1,63081,-0.0076
43425.9,45833.1,47019.4,42535.1,83741,-0.0526
45837.3,46435.7,47505.4,45602.1,55591,-0.0128
46430.2,47293.9,47556,45704,41061,-0.0186
47311.8,47738.7,47944.9,46718.2,27021,-0.0089
47738,46217.5,47917.6,46217.5,31241,0.0329
